id,title,imdbID,year,rtPictureURL
1,Toy story,114709,1995,http://content7.flixster.com/movie/10/93/63/10936393_det.jpg
2,Jumanji,113497,1995,http://content8.flixster.com/movie/56/79/73/5679734_det.jpg
3,Grumpy Old Men,107050,1993,http://content6.flixster.com/movie/25/60/256020_det.jpg
4,Waiting to Exhale,114885,1995,http://content9.flixster.com/movie/10/94/17/10941715_det.jpg
5,Father of the Bride Part II,113041,1995,http://content8.flixster.com/movie/25/54/255426_det.jpg
6,Heat,113277,1995,http://content9.flixster.com/movie/26/80/268099_det.jpg
7,Sabrina,47437,1954,http://content7.flixster.com/movie/10/93/36/10933669_det.jpg
8,Tom and Huck,112302,1995,http://content9.flixster.com/movie/26/16/261691_det.jpg
9,Sudden Death,114576,1995,http://content8.flixster.com/movie/27/91/279122_det.jpg
10,GoldenEye,113189,1995,http://content9.flixster.com/movie/26/66/266699_det.jpg
11,The American President,112346,1995,http://content7.flixster.com/movie/25/42/254205_det.jpg
12,Dracula: Dead and Loving It,112896,1995,http://content8.flixster.com/movie/10/89/17/10891774_det.jpg
13,Balto,112453,1995,http://content7.flixster.com/movie/25/16/251605_det.jpg
14,Nixon,113987,1995,http://content6.flixster.com/movie/28/30/283016_det.jpg
15,Cutthroat Island,112760,1995,http://content6.flixster.com/movie/25/69/256908_det.jpg
16,Casino,112641,1995,http://content8.flixster.com/movie/10/87/61/10876102_det.jpg
17,Sense and Sensibility,114388,1995,http://content6.flixster.com/movie/11/12/50/11125040_det.jpg
18,Four Rooms,113101,1995,http://content7.flixster.com/movie/93/49/77/9349773_det.jpg
19,Ace Ventura: When Nature Calls,112281,1995,http://content7.flixster.com/movie/10/94/18/10941853_det.jpg
20,Money Train,113845,1995,http://content9.flixster.com/movie/11/12/51/11125103_det.jpg
21,Get Shorty,113161,1995,http://content7.flixster.com/movie/98/65/89/9865893_det.jpg
22,Copycat,112722,1995,http://content9.flixster.com/movie/27/27/272723_det.jpg
23,Ninja Assassin,1186367,2009,http://content6.flixster.com/movie/10/89/12/10891232_det.jpg
24,Powder,114168,1995,http://content7.flixster.com/movie/25/59/255901_det.jpg
25,Leaving Las Vegas,113627,1995,http://content7.flixster.com/movie/10/90/25/10902561_det.jpg
26,Othello,114057,1995,http://content6.flixster.com/movie/10/92/98/10929892_det.jpg
27,Now and Then,114011,1995,http://content6.flixster.com/movie/55/36/64/5536644_det.jpg
28,Persuasion,114117,1995,http://content6.flixster.com/movie/11/12/73/11127360_det.jpg
29,La cit̩ des enfants perdus,112682,1995,http://content6.flixster.com/movie/26/78/267824_det.jpg
30,Yao a yao yao dao waipo qiao,115012,1995,http://content8.flixster.com/movie/10/90/31/10903162_det.jpg
31,Dangerous Minds,112792,1995,http://content7.flixster.com/movie/26/98/269813_det.jpg
32,Twelve Monkeys,114746,1995,http://content6.flixster.com/movie/10/93/02/10930244_det.jpg
33,Wings of Courage,114952,1995,http://content7.flixster.com/movie/10/97/83/10978341_det.jpg
34,Babe,112431,1995,http://content7.flixster.com/movie/25/32/253205_det.jpg
35,Carrington,112637,1995,http://content7.flixster.com/movie/28/00/280009_det.jpg
36,Dead Man Walking,112818,1995,http://content6.flixster.com/movie/10/88/77/10887764_det.jpg
37,Across the Sea of Time,112286,1995,http://content6.flixster.com/movie/10/90/58/10905808_det.jpg
38,It Takes Two,113442,1995,http://content7.flixster.com/movie/25/74/257417_det.jpg
39,Clueless,112697,1995,http://content8.flixster.com/movie/10/85/01/10850110_det.jpg
40,"Cry, the Beloved Country",112749,1995,http://content6.flixster.com/movie/10/89/59/10895996_det.jpg
41,Richard III,114279,1995,http://content7.flixster.com/movie/26/89/268909_det.jpg
42,Dead Presidents,112819,1995,http://content7.flixster.com/movie/26/95/269521_det.jpg
43,Restoration,114272,1995,http://content6.flixster.com/movie/27/04/270404_det.jpg
44,Mortal Kombat,113855,1995,http://content9.flixster.com/movie/25/63/256395_det.jpg
45,Live Free or Die Hard,337978,2007,http://content8.flixster.com/movie/10/93/34/10933482_det.jpg
46,How to Make an American Quilt,113347,1995,http://content8.flixster.com/movie/10/86/75/10867514_det.jpg
47,Shichinin no samurai,47478,1954,http://content7.flixster.com/movie/39/91/08/3991085_det.jpg
48,Pocahontas,114148,1995,http://content6.flixster.com/movie/25/15/251508_det.jpg
49,When Night Is Falling,114916,1995,http://content6.flixster.com/movie/10/89/77/10897780_det.jpg
50,The Usual Suspects,114814,1995,http://content7.flixster.com/movie/24/63/48/2463485_det.jpg
52,Mighty Aphrodite,113819,1995,http://content7.flixster.com/movie/10/84/18/10841893_det.jpg
53,Lamerica,110299,1994,http://content6.flixster.com/movie/29/78/297800_det.jpg
54,The Big Green,112499,1995,http://content7.flixster.com/movie/25/93/259305_det.jpg
55,Georgia Rule,791304,2007,http://content8.flixster.com/movie/63/82/23/6382238_det.jpg
56,Kids of the Round Table,113541,1997,http://content7.flixster.com/movie/10/85/20/10852069_det.jpg
57,Home for the Holidays,113321,1995,http://content6.flixster.com/movie/25/43/254392_det.jpg
58,Il postino,110877,1994,http://content8.flixster.com/movie/10/86/74/10867406_det.jpg
59,Le confessionnal,112714,1995,http://images.rottentomatoescdn.com/images/defaults/poster_default.gif
60,The Indian in the Cupboard,113419,1995,http://content9.flixster.com/movie/25/78/257803_det.jpg
61,Eye for an Eye,116260,1996,http://content8.flixster.com/movie/10/99/01/10990146_det.jpg
62,Mr. Holland's Opus,113862,1995,http://content8.flixster.com/movie/10/58/42/10584210_det.jpg
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,116126,1996,http://content8.flixster.com/movie/28/69/286926_det.jpg
64,Two If by Sea,118002,1996,http://content6.flixster.com/movie/27/80/278004_det.jpg
65,Bio-Dome,115683,1996,http://content6.flixster.com/movie/25/94/259420_det.jpg
66,Lawnmower Man 2: Beyond Cyberspace,116839,1996,http://content7.flixster.com/movie/10/86/80/10868017_det.jpg
67,Two Bits,114753,1995,http://content6.flixster.com/movie/26/66/266612_det.jpg
68,Gazon maudit,113149,1995,http://content7.flixster.com/movie/27/76/277609_det.jpg
69,Friday,113118,1995,http://content7.flixster.com/movie/10/88/03/10880345_det.jpg
70,From Dusk Till Dawn,116367,1996,http://content9.flixster.com/movie/62/82/01/6282011_det.jpg
71,Fair Game,113010,1995,http://content8.flixster.com/movie/27/69/276994_det.jpg
72,Kicking & Screaming,384642,2005,http://content9.flixster.com/movie/24/97/249715_det.jpg
73,Les mis̩rables,119683,1998,http://content9.flixster.com/movie/25/51/255107_det.jpg
74,Bed of Roses,115644,1996,http://content9.flixster.com/movie/25/92/259203_det.jpg
75,Big Bully,115676,1996,http://content9.flixster.com/movie/26/51/265195_det.jpg
76,Screamers,114367,1995,http://content7.flixster.com/movie/27/23/272301_det.jpg
77,Nico Icon,113973,1995,http://content9.flixster.com/movie/10/84/77/10847739_det.jpg
78,The Crossing Guard,112744,1995,http://content7.flixster.com/movie/27/69/276905_det.jpg
79,The Juror,116731,1996,http://content6.flixster.com/movie/27/93/279316_det.jpg
80,Badkonake sefid,112445,1995,http://content9.flixster.com/movie/54/93/06/5493067_det.jpg
81,Things to Do in Denver When You're Dead,114660,1995,http://content8.flixster.com/movie/27/06/270606_det.jpg
82,Antonia,112379,1995,http://content6.flixster.com/movie/28/20/282096_det.jpg
83,Once Upon a Time... When We Were Colored,114039,1995,http://content8.flixster.com/movie/10/92/29/10922994_det.jpg
84,Last Summer in the Hamptons,113612,1995,http://content8.flixster.com/movie/92/06/07/9206078_det.jpg
85,Angels and Insects,112365,1995,http://content6.flixster.com/movie/10/89/39/10893928_det.jpg
86,White Squall,118158,1996,http://content9.flixster.com/movie/10/90/52/10905259_det.jpg
87,Dunston Checks In,116151,1996,http://content8.flixster.com/movie/10/85/22/10852206_det.jpg
88,Black Sheep,779982,2006,http://content6.flixster.com/movie/58/07/67/5807672_det.jpg
89,Nick of Time,113972,1995,http://content9.flixster.com/movie/10/84/01/10840163_det.jpg
90,The Journey of August King,113490,1995,http://content8.flixster.com/movie/26/54/265406_det.jpg
92,Mary Reilly,117002,1996,http://content6.flixster.com/movie/27/56/275628_det.jpg
93,Vampire in Brooklyn,114825,1995,http://content7.flixster.com/movie/10/88/64/10886457_det.jpg
94,Beautiful Girls,115639,1996,http://content7.flixster.com/movie/10/84/53/10845361_det.jpg
95,Broken Arrow,115759,1996,http://content6.flixster.com/movie/27/12/271208_det.jpg
96,In the Bleak Midwinter,113403,1995,http://content6.flixster.com/movie/52/63/38/5263388_det.jpg
97,La haine,113247,1995,http://content8.flixster.com/movie/10/84/15/10841502_det.jpg
98,Going Shopping,295605,2005,http://content8.flixster.com/movie/25/02/250226_det.jpg
99,Heidi Fleiss: Hollywood Madam,113283,1995,http://content7.flixster.com/movie/30/49/304921_det.jpg
100,City Hall,115907,1996,http://content8.flixster.com/movie/27/59/275902_det.jpg
101,Bottle Rocket,115734,1996,http://content6.flixster.com/movie/26/73/267324_det.jpg
102,Mr. Wrong,117102,1996,http://content8.flixster.com/movie/10/92/04/10920478_det.jpg
103,Unforgettable,118040,1996,http://content8.flixster.com/movie/11/13/35/11133586_det.jpg
104,Happy Gilmore,116483,1996,http://content7.flixster.com/movie/25/96/259613_det.jpg
105,The Bridges of Madison County,112579,1995,http://content6.flixster.com/movie/10/92/73/10927328_det.jpg
106,Keiner liebt mich,110251,1994,http://content6.flixster.com/movie/10/89/61/10896152_det.jpg
107,Muppet Treasure Island,117110,1996,http://content6.flixster.com/movie/10/88/15/10881572_det.jpg
110,Braveheart,112573,1995,http://content9.flixster.com/movie/16/90/54/1690543_det.jpg
111,Taxi Driver,75314,1976,http://content9.flixster.com/movie/10/91/39/10913987_det.jpg
112,Hung fan kui,113326,1995,http://content6.flixster.com/movie/10/88/62/10886212_det.jpg
113,Before and After,115645,1996,http://content8.flixster.com/movie/26/53/265310_det.jpg
114,Margaret's Museum,113774,1995,http://content7.flixster.com/movie/10/43/62/10436297_det.jpg
115,Le bonheur est dans le pr̩,112556,1995,http://content8.flixster.com/movie/10/91/13/10911350_det.jpg
116,Anne Frank Remembered,112373,1995,http://content9.flixster.com/movie/10/87/14/10871419_det.jpg
117,The Young Poisoner's Handbook,115033,1995,http://content8.flixster.com/movie/52/63/47/5263478_det.jpg
118,If Lucy Fell,116606,1996,http://content7.flixster.com/movie/10/36/17/10361777_det.jpg
119,Steal Big Steal Little,114536,1995,http://content9.flixster.com/movie/10/86/77/10867755_det.jpg
120,Race the Sun,117427,1996,http://content7.flixster.com/movie/10/88/81/10888113_det.jpg
121,The Boys of St. Vincent,106473,1992,http://content7.flixster.com/movie/11/12/44/11124449_det.jpg
122,Boomerang,103859,1992,http://content6.flixster.com/movie/26/81/268128_det.jpg
123,Chung Hing sam lam,109424,1994,http://content6.flixster.com/movie/10/85/69/10856936_det.jpg
124,L'uomo delle stelle,114808,1995,http://content9.flixster.com/movie/27/57/275715_det.jpg
125,Flirting with Disaster,116324,1996,http://content9.flixster.com/movie/92/18/93/9218931_det.jpg
126,The Neverending Story III,110647,1994,http://content9.flixster.com/movie/10/88/07/10880743_det.jpg
128,Jupiter's Wife,110217,1995,http://content7.flixster.com/movie/10/97/52/10975293_det.jpg
129,Pie in the Sky,114131,1996,http://content9.flixster.com/movie/28/42/284295_det.jpg
130,Angela's Ashes,145653,1999,http://content6.flixster.com/movie/10/92/31/10923132_det.jpg
131,Frankie Starlight,113107,1995,http://content6.flixster.com/movie/93/50/48/9350484_det.jpg
132,The Curse of the Jade Scorpion,256524,2001,http://content6.flixster.com/movie/26/26/262600_det.jpg
134,Sonic Outlaws,114500,1995,http://content9.flixster.com/movie/10/83/90/10839055_det.jpg
135,Down Periscope,116130,1996,http://content9.flixster.com/movie/25/41/254115_det.jpg
136,From the Journals of Jean Seberg,113125,1995,http://content8.flixster.com/movie/10/87/54/10875446_det.jpg
137,Man of the Year,483726,2006,http://content9.flixster.com/movie/11/12/89/11128939_det.jpg
139,Hard Target,107076,1993,http://content6.flixster.com/movie/27/33/273300_det.jpg
140,Up Close & Personal,118055,1996,http://content9.flixster.com/movie/25/89/258991_det.jpg
141,The Birdcage,115685,1996,http://content9.flixster.com/movie/26/71/267195_det.jpg
143,Gospa,113200,1995,\N
144,The Brothers McMullen,112585,1995,http://content8.flixster.com/movie/10/87/96/10879638_det.jpg
145,Bad Boys,112442,1995,http://content8.flixster.com/movie/28/27/282798_det.jpg
146,The Amazing Panda Adventure,112342,1995,http://content9.flixster.com/movie/11/15/28/11152831_det.jpg
147,The Basketball Diaries,112461,1995,http://content7.flixster.com/movie/10/93/25/10932577_det.jpg
148,An Awfully Big Adventure,112427,1995,http://content8.flixster.com/movie/10/90/97/10909738_det.jpg
149,The Moguls,405163,2005,http://content7.flixster.com/movie/11/13/35/11133545_det.jpg
150,Apollo 13,112384,1995,http://content7.flixster.com/movie/10/93/70/10937057_det.jpg
151,Rob Roy,114287,1995,http://content9.flixster.com/movie/26/89/268991_det.jpg
152,Basic Instinct 2,430912,2006,http://content8.flixster.com/movie/10/89/83/10898386_det.jpg
153,Batman Forever,112462,1995,http://content7.flixster.com/movie/55/34/97/5534977_det.jpg
154,Belle de jour,61395,1967,http://content9.flixster.com/movie/10/86/32/10863255_det.jpg
155,Beyond Rangoon,112495,1995,http://content8.flixster.com/movie/10/86/97/10869758_det.jpg
156,Blue in the Face,112541,1995,http://content8.flixster.com/movie/27/68/276818_det.jpg
157,Canadian Bacon,109370,1995,http://content7.flixster.com/movie/26/00/260017_det.jpg
158,Casper,112642,1995,http://content9.flixster.com/movie/31/28/312827_det.jpg
159,Clockers,112688,1995,http://content8.flixster.com/movie/10/84/06/10840642_det.jpg
160,Congo,112715,1995,http://content7.flixster.com/movie/25/85/258597_det.jpg
161,Crimson Tide,112740,1995,http://content7.flixster.com/movie/26/84/268417_det.jpg
162,Crumb,109508,1994,http://content7.flixster.com/movie/27/41/274197_det.jpg
163,Desperado,112851,1995,http://content6.flixster.com/movie/10/87/27/10872728_det.jpg
164,Devil in a Blue Dress,112857,1995,http://content9.flixster.com/movie/27/13/271303_det.jpg
165,Die Hard: With a Vengeance,112864,1995,http://content8.flixster.com/movie/10/93/34/10933486_det.jpg
166,The Doom Generation,112887,1995,http://content8.flixster.com/movie/10/92/11/10921130_det.jpg
167,Feast of July,113044,1995,http://content8.flixster.com/movie/10/87/63/10876398_det.jpg
168,First Knight,113071,1995,http://content9.flixster.com/movie/84/22/90/8422907_det.jpg
169,Free Willy 2: The Adventure Home,113114,1995,http://content9.flixster.com/movie/26/44/264407_det.jpg
170,Hackers,113243,1995,http://content7.flixster.com/movie/25/64/256409_det.jpg
171,Jeffrey,113464,1995,http://content7.flixster.com/movie/27/11/271117_det.jpg
172,Johnny Mnemonic,113481,1995,http://content7.flixster.com/movie/28/53/285317_det.jpg
173,Judge Dredd,113492,1995,http://content9.flixster.com/movie/27/05/270591_det.jpg
174,Jury Duty,113500,1995,http://content6.flixster.com/movie/10/50/99/10509940_det.jpg
175,Kids,113540,1995,http://content6.flixster.com/movie/10/89/38/10893852_det.jpg
176,Living in Oblivion,113677,1995,http://content6.flixster.com/movie/10/87/12/10871220_det.jpg
